hotel_id,dia_del_ano,distancia,es_centrico,mes,target
2946,133,2.78,1,5,7.31
4525,133,4.52,0,5,6.27
8109,66,4.99,0,3,5.42
3727,323,17.4,0,11,1.87
2859,76,2.82,1,3,7.48
813,120,3.67,1,4,5.81
1876,336,4.08,0,12,2.75
631,95,22.82,0,4,0.59
8303,226,14.47,0,8,5.57
9501,163,2.92,1,6,7.85
688,284,2.06,1,10,5.65
3735,32,2.4,1,2,7.94
4245,132,3.74,1,5,7.31
265,348,1.56,1,12,4.65
5790,277,2.15,1,10,4.31
733,308,15.19,0,11,0.56
3846,180,1.52,1,6,8.45
1789,40,2.98,1,2,9.46
8306,228,3.72,1,8,10.0
1855,262,2.78,1,9,8.18
1269,122,3.05,1,5,6.99
3344,167,3.06,1,6,6.75
9345,191,3.81,1,7,6.39
6816,37,2.24,1,2,7.25
6988,145,2.87,1,5,7.04
2345,13,2.44,1,1,9.57
5351,311,3.4,1,11,5.3
5903,172,6.4,0,6,7.7
6687,334,2.18,1,12,2.82
6140,241,14.22,0,9,2.72
4818,319,3.69,1,11,4.64
511,83,2.21,1,3,7.64
6035,23,4.89,0,1,7.92
4766,77,3.75,1,3,5.53
9687,14,1.4,1,1,9.23
1741,312,1.59,1,11,5.16
3465,161,12.54,0,6,4.46
8369,261,5.65,0,9,4.9
9528,365,3.53,1,1,8.63
5637,111,3.16,1,4,5.13
6207,299,3.99,1,10,6.79
535,337,2.25,1,12,4.2
2459,196,1.46,1,7,9.03
1286,40,1.78,1,2,7.99
3680,290,1.45,1,10,5.77
8250,295,3.42,1,10,4.59
8983,215,26.7,0,8,0.13
8831,63,3.08,1,3,7.43
8647,27,3.5,1,1,8.8
9947,242,13.05,0,9,4.56
8593,267,4.99,0,9,7.35
7226,163,0.0,1,6,8.96
4411,100,24.08,0,4,2.86
9425,151,0.56,1,6,8.42
3999,169,2.53,1,6,7.69
3983,186,1.16,1,7,7.85
3783,234,5.75,0,8,7.23
5158,60,3.61,1,2,6.97
3950,228,2.44,1,8,9.25
6717,186,4.77,0,7,8.65
1306,181,1.81,1,7,8.2
9183,259,2.81,1,9,5.95
1253,186,1.51,1,7,9.13
7933,310,3.36,1,11,2.66
3775,230,1.66,1,8,7.99
6863,118,2.5,1,4,4.73
9329,65,2.86,1,3,8.22
8809,126,3.2,1,5,7.34
6679,346,2.59,1,12,4.32
9581,341,2.75,1,12,2.13
2264,311,2.99,1,11,5.7
4265,147,3.02,1,5,8.5
5597,161,2.61,1,6,6.68
1933,42,2.14,1,2,7.19
6693,216,3.34,1,8,8.94
8275,76,2.95,1,3,7.41
9438,254,1.42,1,9,5.99
3246,93,3.63,1,4,4.97
7440,8,3.58,1,1,7.33
2733,62,3.31,1,3,6.78
6859,135,0.34,1,5,9.11
9087,365,3.68,1,1,7.12
7699,52,3.95,1,2,8.38
2071,18,0.6,1,1,8.04
7069,13,3.51,1,1,7.1
2736,38,0.64,1,2,9.14
2169,264,0.0,1,9,7.92
8673,199,3.01,1,7,9.85
6920,182,27.47,0,7,0.0
2089,206,3.08,1,7,8.51
9125,124,3.4,1,5,7.92
4807,61,4.14,0,3,6.51
5519,173,1.91,1,6,7.82
9691,312,2.68,1,11,5.01
1766,24,1.83,1,1,7.74
1209,182,4.23,0,7,10.0
7355,210,2.66,1,7,10.0
7369,224,5.01,0,8,8.52
4740,245,3.77,1,9,7.48
2206,94,4.99,0,4,5.07
9660,261,0.77,1,9,7.59
1373,78,3.5,1,3,8.1
128,304,19.79,0,11,1.95
9717,190,1.89,1,7,9.11
7431,195,3.01,1,7,7.29
5251,225,4.86,0,8,7.88
2896,261,29.03,0,9,1.05
9636,144,3.45,1,5,8.03
1588,119,2.77,1,4,5.95
4872,253,4.54,0,9,5.4
5589,25,1.97,1,1,6.43
9243,266,1.57,1,9,6.14
8605,297,2.75,1,10,5.15
8327,219,3.34,1,8,8.13
4674,166,2.32,1,6,9.38
6293,164,4.04,0,6,10.0
2924,74,3.62,1,3,6.72
688,108,2.06,1,4,5.37
7054,266,3.03,1,9,6.03
4559,295,2.29,1,10,5.67
5151,51,5.73,0,2,6.05
5691,146,2.25,1,5,7.52
2714,61,4.24,0,3,6.89
4717,141,5.2,0,5,6.82
7974,225,2.79,1,8,9.07
3665,87,3.47,1,3,7.07
4727,133,3.5,1,5,5.29
9932,55,3.67,1,2,8.1
3796,342,3.09,1,12,2.92
4566,73,4.87,0,3,5.19
1573,106,3.31,1,4,4.23
9047,261,4.27,0,9,6.44
2767,15,5.42,0,1,7.15
9805,21,28.83,0,1,0.0
8845,276,3.42,1,10,5.79
3198,4,2.55,1,1,6.8
8002,14,22.28,0,1,2.46
6055,105,3.96,1,4,5.45
4618,293,2.92,1,10,6.3
6988,228,2.87,1,8,10.0
8535,65,3.67,1,3,5.22
7436,152,3.52,1,6,8.33
1796,362,3.51,1,1,7.67
1966,228,1.72,1,8,9.39
7083,253,1.46,1,9,6.88
4310,45,1.84,1,2,7.63
2242,143,18.66,0,5,2.58
1909,182,2.11,1,7,8.18
1296,114,4.0,1,4,6.19
1219,168,1.86,1,6,9.37
2568,260,2.69,1,9,7.29
5495,142,0.83,1,5,7.47
7430,323,25.84,0,11,0.04
8403,345,1.93,1,12,2.66
1214,362,2.7,1,1,8.55
5158,20,3.61,1,1,6.88
7101,52,4.38,0,2,9.11
8541,163,1.08,1,6,7.85
3120,286,28.77,0,10,0.52
584,325,3.31,1,11,6.02
131,126,3.95,1,5,7.55
2243,301,1.29,1,11,4.96
6164,113,3.14,1,4,4.4
3206,136,2.51,1,5,5.95
7703,78,3.01,1,3,7.52
7939,96,3.13,1,4,6.88
8139,145,14.45,0,5,3.71
2160,102,3.23,1,4,4.21
1454,265,10.42,0,9,2.11
3510,2,2.72,1,1,7.2
7116,35,4.41,0,2,7.14
8040,286,1.3,1,10,7.34
3417,364,3.29,1,1,8.69
2919,20,4.43,0,1,7.98
6852,353,1.7,1,12,3.37
4311,315,3.13,1,11,3.9
6231,324,2.89,1,11,5.92
9567,121,2.79,1,5,7.46
5714,248,2.13,1,9,4.4
8692,337,5.06,0,12,2.65
2951,154,0.0,1,6,8.64
3800,150,2.0,1,5,6.92
7948,251,2.05,1,9,7.08
6426,307,2.78,1,11,4.43
5852,279,28.08,0,10,0.31
7881,152,4.96,0,6,9.24
1582,113,15.97,0,4,2.11
1842,148,15.54,0,5,5.72
6875,229,4.26,0,8,7.48
5332,127,3.92,1,5,7.04
6961,60,2.27,1,2,7.58
2887,238,26.76,0,8,1.15
5225,339,4.07,0,12,3.9
1861,178,0.41,1,6,9.8
6523,361,2.19,1,1,7.59
2099,248,3.0,1,9,5.18
8015,308,0.0,1,11,7.5
6751,352,1.26,1,12,3.35
3848,15,4.75,0,1,8.27
4767,138,3.84,1,5,5.37
8315,111,3.75,1,4,4.97
6702,32,4.39,0,2,7.13
9213,166,2.96,1,6,9.04
4287,346,1.98,1,12,1.01
5204,211,4.24,0,8,8.32
6413,227,3.43,1,8,7.26
6967,205,2.34,1,7,9.54
4272,28,2.7,1,1,7.15
4397,249,3.82,1,9,5.25
3588,174,2.57,1,6,8.41
748,158,0.95,1,6,8.15
7335,210,2.06,1,7,8.84
3626,294,6.08,0,10,3.59
2729,275,25.56,0,10,0.0
3379,321,4.22,0,11,5.31
1808,315,3.32,1,11,3.15
5402,67,3.43,1,3,6.46
9912,277,1.42,1,10,6.47
327,11,3.66,1,1,7.29
6213,47,3.17,1,2,6.78
5461,181,2.38,1,7,9.43
9059,33,4.18,0,2,8.43
807,266,2.91,1,9,5.15
3449,186,2.71,1,7,8.95
8774,102,5.1,0,4,3.25
2573,275,0.34,1,10,5.54
6481,118,3.86,1,4,5.26
4755,83,2.29,1,3,6.07
6126,170,3.05,1,6,8.08
6774,111,3.07,1,4,3.98
9060,128,2.54,1,5,7.4
224,19,4.09,0,1,8.83
329,270,2.76,1,9,5.26
1680,257,4.43,0,9,5.34
6520,249,2.56,1,9,6.91
693,81,1.67,1,3,8.29
4639,155,3.2,1,6,6.99
398,118,1.26,1,4,5.58
4052,18,3.51,1,1,8.23
4464,64,5.23,0,3,6.09
6191,336,3.47,1,12,1.06
6566,68,2.88,1,3,7.28
4424,44,2.52,1,2,9.31
1254,38,2.17,1,2,8.0
8266,361,2.96,1,1,7.08
6806,11,3.42,1,1,7.46
242,278,0.76,1,10,7.62
9911,78,3.54,1,3,7.52
1566,302,2.84,1,11,5.17
6409,100,29.0,0,4,0.56
9924,160,23.19,0,6,1.5
5304,218,4.64,0,8,7.83
8395,12,4.1,0,1,7.69
4951,141,2.44,1,5,7.9
7519,104,0.52,1,4,7.4
1634,136,4.38,0,5,7.95
9441,242,2.0,1,9,5.11
6170,150,2.49,1,5,7.56
7038,48,24.49,0,2,2.3
3642,209,5.17,0,7,8.9
9192,143,3.18,1,5,6.52
7920,146,3.97,1,5,9.86
8737,260,3.16,1,9,4.99
4008,196,1.87,1,7,8.29
283,255,0.0,1,9,7.23
6450,191,1.27,1,7,10.0
8956,56,3.93,1,2,6.55
7410,115,3.02,1,4,5.13
9468,13,20.16,0,1,4.03
6511,119,4.08,0,4,5.17
7326,190,0.51,1,7,9.5
7812,289,2.6,1,10,6.05
1786,330,5.21,0,11,4.4
5090,171,2.53,1,6,9.73
2356,323,3.63,1,11,5.69
1371,49,3.72,1,2,7.75
9190,87,1.44,1,3,7.43
3403,251,2.23,1,9,6.69
9723,128,2.82,1,5,7.74
1375,73,2.92,1,3,6.83
6606,316,2.26,1,11,4.62
7759,268,3.37,1,9,7.41
9284,120,4.65,0,4,6.59
966,253,3.85,1,9,4.59
4130,211,11.99,0,8,5.71
5103,173,0.31,1,6,8.71
2468,19,4.43,0,1,7.36
5267,353,4.72,0,12,3.77
9263,307,2.97,1,11,5.17
6661,3,1.53,1,1,8.43
4394,354,3.17,1,12,1.66
3428,288,2.71,1,10,4.49
8008,280,2.63,1,10,6.37
8189,161,16.89,0,6,1.41
3863,165,1.05,1,6,10.0
7560,363,6.93,0,1,7.44
7914,264,21.92,0,9,3.2
9090,42,2.11,1,2,7.7
1722,218,2.27,1,8,6.72
1270,193,2.82,1,7,9.49
2086,7,3.28,1,1,9.29
2656,267,3.25,1,9,7.17
1991,86,3.37,1,3,5.99
3234,225,3.13,1,8,8.6
1863,20,4.29,0,1,7.18
6950,254,2.68,1,9,5.56
2798,321,5.02,0,11,5.12
8595,250,0.8,1,9,5.62
2292,281,1.1,1,10,4.89
6851,205,3.62,1,7,7.69
152,152,1.94,1,6,7.4
1927,223,2.48,1,8,8.86
4821,347,4.69,0,12,4.54
4442,268,4.03,0,9,5.87
5282,315,4.19,0,11,2.8
6089,289,3.16,1,10,6.21
2719,73,2.94,1,3,8.45
4755,268,2.29,1,9,5.82
3350,315,11.89,0,11,2.54
6083,266,3.59,1,9,6.68
9905,129,4.61,0,5,8.39
7736,237,1.29,1,8,8.57
3451,170,4.15,0,6,6.85
2218,85,3.39,1,3,7.28
8592,243,2.48,1,9,7.22
161,163,1.52,1,6,9.02
6821,92,1.5,1,4,5.14
2464,241,2.67,1,9,7.37
1099,3,2.18,1,1,8.87
5110,360,2.82,1,12,2.86
3075,103,0.71,1,4,5.91
1538,276,4.12,0,10,3.82
7514,170,1.78,1,6,9.62
1552,32,2.25,1,2,7.6
7680,305,23.43,0,11,0.66
2564,35,1.41,1,2,8.07
5742,326,0.0,1,11,5.04
9162,116,1.15,1,4,6.66
5652,322,2.25,1,11,5.22
232,99,4.36,0,4,4.97
4499,146,2.8,1,5,8.02
6983,300,0.64,1,10,6.27
5010,189,2.17,1,7,8.85
6608,131,1.79,1,5,7.4
9194,278,1.83,1,10,5.49
3320,40,4.95,0,2,7.6
9710,79,4.43,0,3,6.03
1688,111,4.0,1,4,4.81
4588,92,10.67,0,4,5.83
4308,289,1.69,1,10,6.6
1677,65,3.24,1,3,5.93
8558,301,1.3,1,11,5.35
6275,170,3.36,1,6,8.55
9432,304,4.27,0,11,4.68
9909,142,1.33,1,5,7.78
7757,108,2.56,1,4,6.68
2755,2,12.6,0,1,5.57
3799,111,1.9,1,4,5.56
1497,315,3.48,1,11,5.46
2401,74,3.59,1,3,6.84
2701,244,4.12,0,9,6.16
5,166,2.72,1,6,8.95
1275,27,2.89,1,1,8.04
2245,262,2.48,1,9,6.43
7204,218,2.71,1,8,8.06
7729,168,2.23,1,6,8.04
4958,257,2.83,1,9,5.34
1922,124,1.82,1,5,6.12
9178,202,3.96,1,7,7.8
6182,198,10.77,0,7,6.24
7774,182,3.47,1,7,8.95
5108,268,4.06,0,9,5.78
5194,272,3.37,1,10,2.97
1282,310,4.95,0,11,5.75
3505,86,1.72,1,3,8.16
4551,365,21.65,0,1,2.95
2342,224,2.19,1,8,10.0
9184,227,1.61,1,8,8.01
8030,356,2.41,1,12,5.57
4105,351,3.43,1,12,2.58
1971,286,3.59,1,10,5.52
7134,334,3.99,1,12,2.19
5705,92,2.2,1,4,5.57
415,188,0.94,1,7,10.0
7637,344,2.89,1,12,3.46
5669,218,5.03,0,8,8.62
3503,316,4.01,0,11,4.43
9172,98,2.84,1,4,4.91
6267,192,2.09,1,7,8.74
2933,6,3.45,1,1,8.78
3209,227,21.77,0,8,1.95
5915,270,1.52,1,9,7.56
3194,3,1.99,1,1,9.63
9605,159,3.35,1,6,6.77
5382,49,2.34,1,2,8.97
6044,130,2.19,1,5,9.48
8238,7,3.48,1,1,8.21
9942,140,4.83,0,5,7.31
550,332,5.45,0,12,4.31
4505,329,1.95,1,11,4.4
7844,204,3.65,1,7,8.97
720,357,4.98,0,12,2.02
4146,141,3.36,1,5,7.24
938,293,25.22,0,10,1.45
499,242,1.81,1,9,7.09
9955,324,1.3,1,11,5.85
7447,252,5.06,0,9,5.04
2848,243,1.78,1,9,6.05
8939,54,3.56,1,2,9.39
626,190,4.54,0,7,8.34
473,314,2.62,1,11,4.76
2510,362,4.94,0,1,7.45
2899,68,5.28,0,3,5.36
1357,215,3.64,1,8,9.97
1957,29,1.22,1,1,8.11
7265,327,6.25,0,11,2.83
1022,161,2.68,1,6,8.2
1598,279,3.36,1,10,3.33
4547,100,4.41,0,4,4.47
274,171,22.23,0,6,1.49
5186,364,4.13,0,1,8.38
2773,301,25.13,0,11,0.14
6001,265,2.6,1,9,7.28
233,341,4.14,0,12,4.85
6606,214,2.26,1,8,9.57
1008,34,2.24,1,2,7.65
3162,257,3.17,1,9,6.4
2417,137,0.87,1,5,6.24
1376,89,2.32,1,3,6.79
7265,23,6.25,0,1,6.26
4515,312,2.93,1,11,5.21
3256,353,3.62,1,12,6.09
8282,210,1.48,1,7,10.0
2834,326,2.78,1,11,2.55
53,160,2.19,1,6,8.45
4486,288,2.51,1,10,5.62
5746,61,2.82,1,3,6.88
5595,239,27.34,0,8,0.11
9309,357,3.69,1,12,3.75
1411,290,2.97,1,10,4.16
7586,46,1.29,1,2,7.19
1905,47,4.54,0,2,7.86
2991,45,2.14,1,2,6.88
3042,163,3.28,1,6,9.0
9686,321,4.41,0,11,2.9
330,87,4.86,0,3,8.05
172,112,1.54,1,4,4.92
6137,236,3.67,1,8,8.11
1332,127,0.42,1,5,8.22
5043,349,1.92,1,12,3.18
3131,68,2.65,1,3,6.98
5088,28,3.96,1,1,8.39
6215,362,5.08,0,1,8.44
4704,92,17.23,0,4,3.35
4571,72,2.59,1,3,6.68
9258,162,18.05,0,6,3.64
6783,116,15.07,0,4,5.34
3085,140,2.89,1,5,8.18
3265,91,11.62,0,4,2.75
4833,133,3.87,1,5,7.07
7203,136,3.29,1,5,6.79
1515,251,2.75,1,9,6.22
5819,297,1.48,1,10,4.47
5958,179,2.68,1,6,8.24
8570,231,4.4,0,8,9.92
2794,19,4.61,0,1,8.2
9589,198,1.56,1,7,6.99
2552,276,3.65,1,10,6.49
9318,108,2.36,1,4,6.62
7109,178,0.85,1,6,8.87
4730,107,2.71,1,4,6.18
5607,359,2.42,1,12,2.82
8254,283,1.63,1,10,5.2
4407,47,1.82,1,2,9.48
8410,108,1.82,1,4,5.36
4231,112,3.37,1,4,3.46
7663,134,0.31,1,5,7.85
516,60,4.27,0,2,7.21
8472,338,2.42,1,12,4.88
3055,244,4.5,0,9,5.96
2291,240,17.17,0,8,3.64
9615,166,2.85,1,6,9.64
6100,289,1.39,1,10,5.84
6192,338,4.42,0,12,2.66
9641,18,25.47,0,1,2.51
5282,360,4.19,0,12,3.63
1714,323,3.33,1,11,4.45
5880,5,3.44,1,1,8.15
2601,216,1.35,1,8,8.0
7791,172,4.77,0,6,7.46
5517,332,2.3,1,12,3.7
1642,96,1.48,1,4,5.51
5866,157,2.93,1,6,9.84
2667,240,4.08,0,8,8.43
8959,96,0.4,1,4,6.77
357,225,12.34,0,8,5.6
7479,304,2.46,1,11,5.65
9437,356,2.48,1,12,4.07
7127,205,3.6,1,7,8.81
7760,125,2.12,1,5,7.42
4139,192,28.49,0,7,0.0
9846,173,3.03,1,6,9.05
7907,348,3.88,1,12,3.44
6573,154,4.77,0,6,7.49
658,120,4.31,0,4,6.24
8307,56,1.06,1,2,6.95
6898,219,2.95,1,8,8.14
4414,296,3.35,1,10,6.36
6566,304,2.88,1,11,4.84
468,84,1.68,1,3,7.03
8392,86,4.16,0,3,6.71
4925,306,3.91,1,11,4.53
8587,102,3.39,1,4,3.81
9306,72,3.09,1,3,6.38
2129,340,2.66,1,12,5.26
5459,28,3.24,1,1,7.37
1482,159,1.39,1,6,8.74
2318,178,3.24,1,6,7.93
7516,203,24.17,0,7,1.86
2709,236,3.04,1,8,7.95
14,338,0.7,1,12,4.39
2417,103,0.87,1,4,6.02
2820,155,2.46,1,6,9.49
5039,42,2.55,1,2,6.73
3025,121,3.98,1,5,6.6
3332,224,0.77,1,8,9.03
1478,126,2.42,1,5,7.81
2526,351,0.94,1,12,3.08
9099,192,14.28,0,7,6.16
82,245,2.64,1,9,7.57
2611,177,4.27,0,6,7.16
1637,242,3.18,1,9,5.77
9009,352,3.62,1,12,2.99
6457,358,2.92,1,12,6.24
3482,242,2.73,1,9,5.93
6166,238,1.19,1,8,10.0
3978,50,1.23,1,2,6.88
6351,66,0.77,1,3,6.32
5216,69,19.68,0,3,1.89
6552,168,1.46,1,6,8.19
4640,346,4.13,0,12,3.18
6957,306,2.89,1,11,3.81
6453,274,0.66,1,10,5.05
1175,178,3.39,1,6,9.58
8001,343,4.18,0,12,4.67
9609,14,3.03,1,1,9.04
3633,312,3.52,1,11,4.94
2919,121,4.43,0,5,6.91
6048,186,1.92,1,7,8.86
5569,257,2.37,1,9,5.49
27,313,2.38,1,11,4.97
9817,204,4.2,0,7,7.43
1266,331,3.5,1,12,2.54
3770,71,3.09,1,3,7.88
8192,97,20.38,0,4,3.82
725,109,10.26,0,4,4.34
4947,223,3.71,1,8,9.43
1522,174,3.53,1,6,8.14
6293,335,4.04,0,12,2.12
2948,218,4.91,0,8,8.56
2470,146,1.11,1,5,8.27
5097,199,4.74,0,7,8.49
7876,18,1.52,1,1,8.3
4277,216,2.42,1,8,9.7
2942,84,2.97,1,3,5.77
6525,350,3.17,1,12,2.8
8477,55,2.06,1,2,6.91
7618,43,2.01,1,2,8.02
5674,352,0.99,1,12,2.78
1662,336,2.57,1,12,2.97
6627,7,0.8,1,1,8.05
2636,164,10.2,0,6,6.01
2110,295,4.05,0,10,3.7
8307,197,1.06,1,7,9.73
7450,6,17.34,0,1,5.05
7965,335,11.78,0,12,2.56
6582,217,1.0,1,8,10.0
894,156,1.98,1,6,10.0
6963,133,1.91,1,5,8.27
1900,310,6.21,0,11,4.04
7378,258,5.09,0,9,5.83
6109,243,20.01,0,9,3.09
5490,274,4.39,0,10,4.73
5978,58,3.79,1,2,5.54
2931,218,1.94,1,8,9.38
8712,197,2.11,1,7,8.17
1311,77,2.63,1,3,5.88
114,173,2.91,1,6,8.58
9670,133,27.54,0,5,0.56
3238,264,2.79,1,9,4.94
7455,223,4.29,0,8,8.31
796,238,5.12,0,8,8.84
4616,21,3.32,1,1,6.88
1992,251,2.53,1,9,7.68
7541,188,25.23,0,7,0.03
821,307,3.33,1,11,6.56
6051,130,4.51,0,5,6.39
6975,173,2.55,1,6,8.84
4853,13,3.67,1,1,6.01
8893,137,17.73,0,5,3.21
2929,151,1.99,1,6,9.1
5848,214,3.43,1,8,8.33
288,229,4.85,0,8,7.4
5319,153,0.05,1,6,8.54
584,306,3.31,1,11,5.58
1830,183,29.01,0,7,0.36
600,273,24.95,0,10,2.55
6492,128,2.86,1,5,6.71
2872,44,1.58,1,2,7.62
8766,49,3.41,1,2,8.35
2066,75,1.87,1,3,5.41
8085,221,0.9,1,8,8.0
4501,177,3.61,1,6,9.45
7505,353,2.44,1,12,2.5
4000,269,4.2,0,9,4.2
9324,235,2.79,1,8,10.0
666,40,2.72,1,2,6.34
5351,191,3.4,1,7,9.05
628,76,2.49,1,3,6.95
9984,327,2.28,1,11,1.81
1657,196,2.39,1,7,8.94
8399,41,2.19,1,2,8.33
5535,327,0.73,1,11,5.23
4948,217,3.74,1,8,9.22
6566,12,2.88,1,1,7.75
3014,132,2.44,1,5,8.06
1299,222,1.52,1,8,8.33
1908,99,5.21,0,4,3.55
9354,134,2.61,1,5,6.01
4968,316,5.81,0,11,2.57
8423,277,18.48,0,10,3.31
3994,356,4.02,0,12,1.95
801,192,3.64,1,7,9.06
9394,243,4.06,0,9,5.79
3526,224,22.1,0,8,2.4
4503,353,4.59,0,12,4.75
3043,142,5.06,0,5,6.21
8218,344,1.59,1,12,4.4
750,310,3.89,1,11,4.39
6532,93,3.09,1,4,5.23
4669,140,1.72,1,5,9.84
83,209,3.11,1,7,7.52
3394,10,3.89,1,1,9.12
6789,337,3.46,1,12,4.2
2127,141,3.24,1,5,6.66
4376,237,4.12,0,8,9.82
9816,326,0.81,1,11,3.02
5213,50,2.49,1,2,7.27
3627,116,1.37,1,4,4.52
297,364,3.07,1,1,8.49
5319,114,0.05,1,4,4.88
1045,314,4.07,0,11,4.75
4716,365,1.6,1,1,8.33
9984,236,2.28,1,8,8.3
9633,216,3.76,1,8,8.7
9753,169,2.62,1,6,8.4
8872,200,3.08,1,7,7.88
7793,286,1.68,1,10,8.47
206,176,4.25,0,6,7.67
5581,164,22.31,0,6,0.22
5675,228,5.44,0,8,6.94
2487,237,3.5,1,8,7.12
8176,108,3.52,1,4,6.12
8721,358,15.83,0,12,2.21
2786,345,3.15,1,12,3.98
6391,131,0.97,1,5,7.37
6602,17,3.4,1,1,7.7
9361,41,17.03,0,2,3.3
7972,288,0.69,1,10,5.78
5658,43,2.87,1,2,8.52
3401,272,2.71,1,10,5.79
6049,156,3.61,1,6,8.86
4782,162,11.68,0,6,6.3
7398,346,4.54,0,12,4.28
7658,16,3.15,1,1,8.34
2555,320,3.2,1,11,4.83
9584,86,2.53,1,3,8.06
5762,290,4.14,0,10,4.51
7071,213,2.56,1,8,7.83
384,146,2.59,1,5,6.12
9117,252,3.52,1,9,6.36
3846,193,1.52,1,7,7.64
8808,68,2.52,1,3,7.33
6201,311,3.06,1,11,4.38
2024,50,3.23,1,2,8.72
6484,112,2.72,1,4,4.78
3463,57,0.98,1,2,8.02
9352,149,3.09,1,5,8.3
2927,82,3.49,1,3,8.01
6572,282,29.02,0,10,0.0
6694,181,19.54,0,7,3.67
3568,215,0.47,1,8,9.65
9819,143,1.39,1,5,8.0
5234,186,3.58,1,7,8.54
1731,341,0.56,1,12,5.21
5207,258,1.81,1,9,4.69
8776,273,2.08,1,10,5.16
6426,116,2.78,1,4,5.89
6619,254,2.56,1,9,6.86
7601,147,3.11,1,5,8.52
7364,81,2.89,1,3,7.98
2911,205,2.14,1,7,9.0
4726,2,2.32,1,1,9.6
8728,172,4.73,0,6,7.29
7603,336,21.66,0,12,2.04
2823,350,1.64,1,12,5.59
